id,variety_name,category,color,image_url
50,powers heirloom,heirloom,yellow,https://www.seedsavers.org/site/img/seo-images/1453-tomato-powers-heirloom.jpg
40,principe borghese,grape,red,https://www.seedsavers.org/site/img/seo-images/0823C-principe-borghese-tomato.jpg
54,red fig,pear,red,https://www.seedsavers.org/site/img/seo-images/1235-red-fig-tomato-organic.jpg
51,red zebra,heirloom,red-orange,https://www.seedsavers.org/site/img/seo-images/1317A-red-zebra-tomato-organic.jpg
13,redfield beauty,slicer,red,https://www.seedsavers.org/site/img/seo-images/1483-redfield-beauty-tomato-organic.jpg
57,riesentraube,plum,red,https://www.seedsavers.org/site/img/seo-images/0263A-riesentraube-tomato.jpg
14,rosso sicilian,beefsteak,red,https://www.seedsavers.org/site/img/seo-images/1530-rosso-sicilian-tomato-organic.jpg
22,sheboygan,canning,red,https://www.seedsavers.org/site/img/seo-images/1484-sheboygan-tomato-organic.jpg
71,siberian,slicer,red,https://www.seedsavers.org/site/img/seo-images/1236-siberian-tomato-organic.jpg
15,silvery fir tree,beefsteak,red-orange,https://www.seedsavers.org/site/img/seo-images/0029-silvery-fir-tree-tomato-organic.jpg
62,speckled roman,roma,red-orange,https://www.seedsavers.org/site/img/seo-images/0981A-speckled-roma-tomato-organic.jpg
36,stupice,cocktail,red,https://www.seedsavers.org/site/img/seo-images/0667-stupice-tomato-organic.jpg
38,sweet pea currant,cherry,red,https://www.seedsavers.org/site/img/seo-images/1230-sweet-pea-currant-tomato-organic.jpg
16,tasty evergreen,beefsteak,green,https://www.seedsavers.org/site/img/seo-images/0434-tasty-evergreen-tomato-organic.jpg
33,tommy toe,cherry,red,https://www.seedsavers.org/site/img/seo-images/0265-tommy-toe-tomato.jpg
72,trophy,slicer,red,https://www.seedsavers.org/site/img/seo-images/1183-trophy-tomato.jpg
73,trucker's favorite pink ,slicer,pink,https://www.seedsavers.org/site/img/seo-images/1485-truckers-favorite-tomato-organic.jpg
58,ukranian purple,plum,purple,https://www.seedsavers.org/site/img/seo-images/1234-ukrainian-purple-tomato.jpg
74,varigated,slicer,various,https://www.seedsavers.org/site/img/seo-images/1318-tomato-variegated.jpg
34,velvet red,cherry,red,https://www.seedsavers.org/site/img/seo-images/1226-velvet-red-tomato-organic.jpg
75,wapsipinicon peach,slicer,yellow,https://www.seedsavers.org/site/img/seo-images/1058-wapsipinicon-peach-tomato.jpg
35,white cherry,cherry,yellow-white,https://www.seedsavers.org/site/img/seo-images/1610-white-cherry-tomato-organic.jpg
76,white tomesol,slicer,yellow-white,https://www.seedsavers.org/site/img/seo-images/1620-white-tomesol-tomato.jpg
17,whittemore heirloom,beefsteak,red,https://www.seedsavers.org/site/img/seo-images/0181-whittemore-heirloom-tomato-organic.jpg
23,wisconsin 55,canning,pink,https://www.seedsavers.org/site/img/seo-images/1059-wisconsin-55-tomato-organic.jpg
24,wisconsin chief,canning,red,https://www.seedsavers.org/site/img/seo-images/0224-wisconsin-chief-tomato-organic.jpg
